+-----------+---------+----------------+----------+------------+----------+
|   OPCODE  | CHANNEL |      REG       | RAM_ADDR |  RAW_DATA  | DELAY_MS |
| RAM-WRITE |    0    |                |  0x54f   |  0x28c800  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x465c400  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12558600 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |  0x1cca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12618600 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |  0x28ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |  0x1cc400  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |   0xa00    |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x4218400  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x54cca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0xffc8a00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x16498000 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0xffcca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15118000 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1410ca00 |  0.299   |
| RAM-WRITE |    0    |                |  0x54f   |  0x3c8a00  |  0.292   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   |  0x158000  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |  0x3cca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   |  0x358000  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1000ca00 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1d9ca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15d98600 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x16dca00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15d98600 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1108ca00 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0xc834400  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1000ea00 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x461ca00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1fc98200 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x7750400  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x7e92a00  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000c00 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000c00 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1424ee00 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12f98600 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0400  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002e00 |  0.289   |
| RAM-WRITE |    0    |                |  0x54f   | 0x461c000  |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1fc98200 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x105dca00 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13318600 |  0.290   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14dc0a00 |  0.286   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1191ca00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13398600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6d40a00  |  0.285   |
| RAM-WRITE |    0    |                |  0x54f   | 0x674ca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |  0.273   |
| RAM-WRITE |    0    |                |  0x54f   | 0x455ca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13518600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14318600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   |  0x59c000  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14058600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6d4c000  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x461ca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13fd8600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x40dca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13918600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x8350a00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c8ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340200 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c0c600  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13cd8600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13f18600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x8350a00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c8ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340200 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c0c600  |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c4c600  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13cd8600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x13f18600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x5f50a00  |  0.270   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x38c0a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340000 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x19b80a00 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6d40a00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.276   |
| RAM-WRITE |    0    |                |  0x54f   | 0x150d8600 |  0.273   |
| RAM-WRITE |    0    |                |  0x54f   | 0x133dc000 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14318600 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |  0.270   |
| RAM-WRITE |    0    |                |  0x54f   | 0x19b80a00 |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.270   |
