+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10003600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14918000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1000ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x3990400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x8812a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x11fd8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x3750000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x8510c00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x19500200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x194c0a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x698ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x6a18400  |
| RAM-WRITE |    0    |                |  0x54f   |  0x2cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |
| RAM-WRITE |    0    |                |  0x54f   | 0x459ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x12558600 |
| RAM-WRITE |    0    |                |  0x54f   |  0x1cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0xfd8c400  |
| RAM-WRITE |    0    |                |  0x54f   |  0x28c800  |
| RAM-WRITE |    0    |                |  0x54f   | 0x465c400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x12558600 |
| RAM-WRITE |    0    |                |  0x54f   |  0x1cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x12618600 |
| RAM-WRITE |    0    |                |  0x54f   |  0x28ca00  |
| RAM-WRITE |    0    |                |  0x54f   |  0x1cc400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |
| RAM-WRITE |    0    |                |  0x54f   |   0xa00    |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x4218400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x54cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0xffc8a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x16498000 |
| RAM-WRITE |    0    |                |  0x54f   | 0xffcca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15118000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1410ca00 |
| RAM-WRITE |    0    |                |  0x54f   |  0x3c8a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   |  0x158000  |
| RAM-WRITE |    0    |                |  0x54f   |  0x3cca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   |  0x358000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1000ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1d9ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15d98600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x16dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15d98600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1108ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0xc834400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1000ea00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x461ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1fc98200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x7750400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x7e92a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000c00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000c00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1424ee00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x12f98600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002e00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x461c000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x1fc98200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x105dca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x13318600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14dc0a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x1191ca00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x13398600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6d40a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x674ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |
| RAM-WRITE |    0    |                |  0x54f   | 0x455ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13518600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14318600 |
| RAM-WRITE |    0    |                |  0x54f   |  0x59c000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14058600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6d4c000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |
| RAM-WRITE |    0    |                |  0x54f   | 0x461ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13fd8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x40dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13918600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x8350a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c8ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c0c600  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13cd8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13f18600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x8350a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c8ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c0c600  |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c4c600  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13cd8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x13f18600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x5f50a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000200 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x38c0a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x19b80a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6d40a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x150d8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x133dc000 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14318600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x19b80a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |
| RAM-WRITE |    0    |                |  0x54f   |  0x59ca00  |
| RAM-WRITE |    0    |                |  0x54f   |  0x998400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x33dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x150d8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x370ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x459c200  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14458600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x7080000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x708ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x370c400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dc400  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14658600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x469c000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14658600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x7080a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x40dca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x14ad8600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x8350000  |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c8c200  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x19b80a00 |
| RAM-WRITE |    0    |                |  0x54f   | 0x469ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x15518600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c4c000  |
